TE	Freq	Fraction	Tissue_Number	Sex	Type
LTR	6	0.461538461538462	11	Female	LincRNA
SINE	1	0.0769230769230769	11	Female	LincRNA
DNA	1	0.0625	12	Female	LincRNA
LINE	4	0.25	12	Female	LincRNA
LTR	8	0.5	12	Female	LincRNA
SINE	3	0.1875	12	Female	LincRNA
DNA	1	0.0416666666666667	13	Female	LincRNA
LINE	8	0.333333333333333	13	Female	LincRNA
LTR	12	0.5	13	Female	LincRNA
SINE	3	0.125	13	Female	LincRNA
DNA	1	0.0625	14	Female	LincRNA
LINE	2	0.125	14	Female	LincRNA
LTR	11	0.6875	14	Female	LincRNA
SINE	2	0.125	14	Female	LincRNA
DNA	1	0.0555555555555556	15	Female	LincRNA
LINE	2	0.111111111111111	15	Female	LincRNA
LTR	10	0.555555555555556	15	Female	LincRNA
SINE	5	0.277777777777778	15	Female	LincRNA
DNA	1	0.125	16	Female	LincRNA
LINE	2	0.25	16	Female	LincRNA
LTR	4	0.5	16	Female	LincRNA
SINE	1	0.125	16	Female	LincRNA
DNA	1	0.0666666666666667	17	Female	LincRNA
LINE	3	0.2	17	Female	LincRNA
LTR	5	0.333333333333333	17	Female	LincRNA
SINE	6	0.4	17	Female	LincRNA
LINE	4	0.571428571428571	18	Female	LincRNA
LTR	3	0.428571428571429	18	Female	LincRNA
LINE	3	0.375	19	Female	LincRNA
LTR	4	0.5	19	Female	LincRNA
SINE	1	0.125	19	Female	LincRNA
LINE	2	0.285714285714286	20	Female	LincRNA
LTR	2	0.285714285714286	20	Female	LincRNA
SINE	3	0.428571428571429	20	Female	LincRNA
LINE	1	0.125	21	Female	LincRNA
LTR	3	0.375	21	Female	LincRNA
SINE	4	0.5	21	Female	LincRNA
DNA	1	0.111111111111111	22	Female	LincRNA
LINE	3	0.333333333333333	22	Female	LincRNA
LTR	4	0.444444444444444	22	Female	LincRNA
SINE	1	0.111111111111111	22	Female	LincRNA
LINE	3	0.6	23	Female	LincRNA
LTR	2	0.4	23	Female	LincRNA
LINE	2	0.222222222222222	24	Female	LincRNA
LTR	6	0.666666666666667	24	Female	LincRNA
SINE	1	0.111111111111111	24	Female	LincRNA
DNA	2	0.25	25	Female	LincRNA
LINE	2	0.25	25	Female	LincRNA
LTR	1	0.125	25	Female	LincRNA
SINE	3	0.375	25	Female	LincRNA
LINE	4	0.5	26	Female	LincRNA
LTR	2	0.25	26	Female	LincRNA
SINE	2	0.25	26	Female	LincRNA
LTR	3	1	27	Female	LincRNA
DNA	2	0.2	28	Female	LincRNA
LINE	4	0.4	28	Female	LincRNA
LTR	4	0.4	28	Female	LincRNA
DNA	1	0.166666666666667	29	Female	LincRNA
LTR	4	0.666666666666667	29	Female	LincRNA
SINE	1	0.166666666666667	29	Female	LincRNA
DNA	2	0.285714285714286	30	Female	LincRNA
LINE	2	0.285714285714286	30	Female	LincRNA
LTR	2	0.285714285714286	30	Female	LincRNA
SINE	1	0.142857142857143	30	Female	LincRNA
DNA	1	0.0833333333333333	31	Female	LincRNA
LINE	1	0.0833333333333333	31	Female	LincRNA
LTR	8	0.666666666666667	31	Female	LincRNA
SINE	2	0.166666666666667	31	Female	LincRNA
DNA	1	0.142857142857143	32	Female	LincRNA
LINE	1	0.142857142857143	32	Female	LincRNA
LTR	2	0.285714285714286	32	Female	LincRNA
SINE	3	0.428571428571429	32	Female	LincRNA
SINE	1	1	33	Female	LincRNA
LTR	1	1	34	Female	LincRNA
DNA	1	0.142857142857143	35	Female	LincRNA
LINE	1	0.142857142857143	35	Female	LincRNA
LTR	3	0.428571428571429	35	Female	LincRNA
SINE	2	0.285714285714286	35	Female	LincRNA
DNA	2	0.4	36	Female	LincRNA
LTR	1	0.2	36	Female	LincRNA
SINE	2	0.4	36	Female	LincRNA
LINE	3	0.428571428571429	37	Female	LincRNA
LTR	2	0.285714285714286	37	Female	LincRNA
SINE	2	0.285714285714286	37	Female	LincRNA
